time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/collision_rate,rollout/success_rate,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_range,train/entropy_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/n_updates,eval/success_rate,eval/mean_reward,eval/mean_ep_length
26,40960,10,1561,136.43,0.37,0.16,1.9025851488113403,0.0003,0.6160538631491363,0.2,-1.7141877457499504,0.03809332847595215,0.027762383222579956,-0.0427511566755129,0.026355004,0.2701904296875,90,,,
28,45056,11,1589,141.91,0.31,0.22,2.8167953491210938,0.0003,0.8292451568879187,0.2,-1.6698628015816213,0.21398842334747314,0.08425254374742508,-0.04254131257184781,0.03342868,0.3180908203125,100,,,
30,49152,12,1607,132.87,0.33,0.26,3.3015003204345703,0.0003,0.6809110115282238,0.2,-1.675970011949539,0.18256276845932007,0.010196782648563385,-0.05025726779713295,0.03327529,0.3269775390625,110,,,
,50000,,,,,,,0.0003,0.7181078652851284,0.2,-1.6338862128555776,0.3146231174468994,0.08415678888559341,-0.04757275757146999,0.031987615,0.3296142578125,120,0.05,-0.6272163987159729,172.1
37,53248,13,1411,136.15,0.32,0.26,3.2433130741119385,,,,,,,,,,,,,
39,57344,14,1442,135.59,0.31,0.28,3.6608970165252686,0.0003,0.6984203455038369,0.2,-1.614785721898079,0.08801746368408203,0.07414551079273224,-0.044102230115095155,0.034702234,0.3254150390625,130,,,
41,61440,15,1469,128.58,0.27,0.36,4.596813201904297,0.0003,0.9413537506014109,0.2,-1.589200210571289,0.37217265367507935,0.06757628917694092,-0.045068375489790924,0.032562345,0.304736328125,140,,,
43,65536,16,1490,117.93,0.3,0.44,5.644491672515869,0.0003,0.8730665237642825,0.2,-1.5258351258933545,0.3008425235748291,0.041952311992645264,-0.04614761188277043,0.03803292,0.3580078125,150,,,
46,69632,17,1511,112.41,0.26,0.47,5.947256565093994,0.0003,1.1673607980832457,0.2,-1.5194190427660943,0.41497981548309326,0.17012880742549896,-0.036278670880710705,0.03301707,0.305810546875,160,,,
48,73728,18,1530,107.79,0.28,0.44,5.319478988647461,0.0003,1.0486664585769176,0.2,-1.4919828198850156,0.5172069072723389,0.06510011851787567,-0.0396425532293506,0.039085086,0.313232421875,170,,,
